Country name in IHME,Country name in IFs,IHME Group
Querétaro,Not in Ifs,Not in Ifs
Colombia,Colombia,WHO Amro B
Niigata,Not in Ifs,Not in Ifs
Sub-Saharan Africa,Not in Ifs,Not in Ifs
Jordan,Jordan,WHO Emro B
Northern Mariana Islands,Not in Ifs,Not in Ifs
Guinea-Bissau,Guinea-Bissau,WHO Afro D
Caribbean,Not in Ifs,Not in Ifs
Somalia,Somalia,WHO Emro D
Bhutan,Bhutan,WHO Searo D
Fukui,Not in Ifs,Not in Ifs
Sri Lanka,Sri Lanka,WHO Searo B
Tottori,Not in Ifs,Not in Ifs
Fiji,Fiji,WHO Wpro B
The Gambia,"Gambia, The",WHO Afro D
Aguascalientes,Not in Ifs,Not in Ifs
West Midlands,Not in Ifs,Not in Ifs
Central Europe,Not in Ifs,Not in Ifs
Toyama,Not in Ifs,Not in Ifs
Pakistan,Pakistan,WHO Emro D
Fukuoka,Not in Ifs,Not in Ifs
Kagawa,Not in Ifs,Not in Ifs
Finland,Finland,WHO Euro A
Antigua and Barbuda,Not in Ifs,Not in Ifs
Seychelles,Seychelles,WHO Afro D
Fukushima,Not in Ifs,Not in Ifs
"Virgin Islands, U.S.",Not in Ifs,Not in Ifs
Central Latin America,Not in Ifs,Not in Ifs
Nuevo León,Not in Ifs,Not in Ifs
Lithuania,Lithuania,WHO Euro C
Yamanashi,Not in Ifs,Not in Ifs
Nepal,Nepal,WHO Searo D
Nagano,Not in Ifs,Not in Ifs
Okayama,Not in Ifs,Not in Ifs
Egypt,"Egypt, Arab Republic of",WHO Emro D
Madagascar,Madagascar,WHO Afro D
Guerrero,Not in Ifs,Not in Ifs
Scotland,Not in Ifs,Not in Ifs
Central Sub-Saharan Africa,Not in Ifs,Not in Ifs
Lebanon,Lebanon,WHO Emro B
Germany,Germany,WHO Euro A
K?chi,Not in Ifs,Not in Ifs
Gifu,Not in Ifs,Not in Ifs
Iraq,Iraq,WHO Emro D
Tanzania,Tanzania,WHO Afro E
Russian Federation,Russian Federation,WHO Euro C
Albania,Albania,WHO Euro B
Saga,Not in Ifs,Not in Ifs
Guinea,Guinea,WHO Afro D
Iceland,Iceland,WHO Euro A
Libya,Libya,WHO Emro B
High-income,Not in Ifs,Not in Ifs
Costa Rica,Costa Rica,WHO Amro B
Kuwait,Kuwait,WHO Emro B
Liberia,Liberia,WHO Afro D
Nagasaki,Not in Ifs,Not in Ifs
Puebla,Not in Ifs,Not in Ifs
Quintana Roo,Not in Ifs,Not in Ifs
